date,MSFT
2004-04-30,0.04813477737666627
2004-05-31,0.0038270187524069854
2004-06-30,0.08882958444527822
2004-07-31,-0.0024509803921353157
2004-08-31,-0.03895485393284648
2004-09-30,0.012820512820507446
2004-10-31,0.011573236889710792
2004-11-30,0.06631316111781693
2004-12-31,-0.003356956359575003
2005-01-31,-0.016467065868240427
2005-02-28,-0.039664217149459224
2005-03-31,-0.03934817170108029
2005-04-30,0.04675217211416549
2005-05-31,0.022963356939180946
2005-06-30,-0.0372093023255744
2005-07-31,0.030998389693999595
2005-08-31,0.07226619255374955
2005-09-30,-0.06026296566834788
2005-10-31,-0.0011659541391544348
2005-11-30,0.08017601697910859
2005-12-31,-0.05527456647396789
2006-01-31,0.07648183556403598
2006-02-28,-0.0422747240547906
2006-03-31,0.012653516933396558
